Date,Waste_Polythene_kg,Textiles_Waste_kg,Paper_Waste_kg,Plastic_Scrap_kg,Dahi_Cups_kg,Plastic_Sutli_kg,Cover_Shoe_Clear_Plastic_kg,Empty_Paper_Bags_kg,Waste_Empty_Carton_kg,Empty_Plastic_Cans_Count,Empty_Plastic_Cans_Size,Total_Waste_kg,Plant_Status,Remarks,Day_of_Week,Holiday_Flag,Cumulative_Waste_kg
2025-08-01,66.0,5.0,59.0,2.0,5.0,1.0,3.0,21.0,212.0,1.0,25L,374.0,Running,,Friday,0,374.0
2025-08-02,63.0,2.0,65.0,1.0,2.0,1.0,3.0,29.0,85.0,2.0,5L,251.0,Running,,Saturday,0,625.0
2025-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,Closed,Sunday,Sunday,1,625.0
2025-08-04,53.0,2.0,49.0,2.0,3.0,2.0,4.0,21.0,268.0,3.0,5L,404.0,Running,,Monday,0,1029.0
2025-08-05,44.0,2.0,65.0,2.0,3.0,2.0,3.0,29.0,224.0,2.0,25L,374.0,Running,,Tuesday,0,1403.0
2025-08-06,55.0,2.0,64.0,2.0,7.0,1.0,3.0,21.0,185.0,3.0,5L,340.0,Running,,Wednesday,0,1743.0
2025-08-07,31.0,2.0,42.0,1.0,2.0,3.0,4.0,11.0,56.0,2.0,5L,152.0,Running,,Thursday,0,1895.0
2025-08-08,44.0,1.0,49.0,2.0,17.0,1.0,3.0,19.0,65.0,2.0,5L,201.0,Running,,Friday,0,2096.0
2025-08-09,39.0,2.0,39.0,2.0,2.0,2.0,4.0,16.0,75.0,2.0,5L,181.0,Running,,Saturday,0,2277.0
2025-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,Closed,Sunday,Sunday,1,2277.0
2025-08-11,64.0,2.0,59.0,2.0,6.0,1.0,3.0,17.0,85.0,2.0,5L,239.0,Running,,Monday,0,2516.0
2025-08-12,54.0,2.0,49.0,2.0,7.0,1.0,2.0,29.0,84.0,2.0,5L,230.0,Running,,Tuesday,0,2746.0
2025-08-13,42.0,1.0,59.0,2.0,7.0,2.0,3.0,19.0,85.0,5.0,5L,220.0,Running,,Wednesday,0,2966.0
2025-08-14,75.0,2.0,29.0,1.0,10.0,1.0,2.0,24.0,75.0,2.0,5L,219.0,Running,,Thursday,0,3185.0
2025-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,Closed,Holiday,Friday,1,3185.0
2025-08-16,31.0,2.0,46.0,2.0,12.0,2.0,4.0,21.0,80.0,4.0,5L,200.0,Running,,Saturday,0,3385.0
2025-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,Closed,Sunday,Sunday,1,3385.0
2025-08-18,53.0,2.0,64.0,2.0,7.0,2.0,4.0,26.0,85.0,4.0,5L,245.0,Running,,Monday,0,3630.0
2025-08-19,53.0,2.0,56.0,2.0,7.0,2.0,3.0,19.0,124.0,1.0,5L,268.0,Running,,Tuesday,0,3898.0
2025-08-20,49.0,2.0,53.0,2.0,6.0,2.0,4.0,21.0,139.0,3.0,25L,278.0,Running,,Wednesday,0,4176.0
2025-08-21,49.0,3.0,54.0,2.0,1.0,1.0,3.0,42.0,162.0,2.0,25L,317.0,Running,,Thursday,0,4493.0
2025-08-22,21.0,2.0,36.0,2.0,8.0,2.0,3.0,11.0,82.0,2.0,5L,167.0,Running,,Friday,0,4660.0
2025-08-23,49.0,2.0,42.0,2.0,7.0,1.0,4.0,25.0,65.0,2.0,5L,197.0,Running,,Saturday,0,4857.0
2025-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,Closed,Sunday,Sunday,1,4857.0
2025-08-25,30.0,2.0,36.0,2.0,8.0,4.0,2.0,21.0,45.0,2.0,5L,150.0,Running,,Monday,0,5007.0
2025-08-26,72.0,2.0,53.0,3.0,5.0,2.0,4.0,21.0,85.0,3.0,5L,247.0,Running,,Tuesday,0,5254.0
2025-08-27,61.0,2.0,58.0,2.0,6.0,1.0,3.0,24.0,76.0,2.0,5L,233.0,Running,,Wednesday,0,5487.0
2025-08-28,64.0,2.0,67.0,4.0,4.0,2.0,5.0,19.0,84.0,2.0,5L,251.0,Running,,Thursday,0,5738.0
2025-08-29,52.0,2.0,59.0,3.0,9.0,2.0,5.0,24.0,92.0,6.0,25L,248.0,Running,,Friday,0,5986.0
2025-08-30,64.0,2.0,54.0,3.0,6.0,2.0,5.0,23.0,85.0,2.0,5L,244.0,Running,,Saturday,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN,0.0,,,,0,6230.0
